listing_id,description,room_type
726465,"❤️ of Williamsburg, Private Entrance",Private room
727512,Duplex Loft Suite w/ Patio @ Box House Hotel,Entire home/apt
727547,Duplex w/ Patio @ Box House Hotel,Entire home/apt
728493,Feel at HOME away from HOME,Private room
728498,WEST HARLEM  PRIVATE BEDROOM,PRIVATE ROOM
729306,"Clean & Quiet BR in Sunset Park, BK",Private room
730480,Private Bedroom in Sunny Brooklyn Apartment,Private room
731293,**YOUR HOME AWAY FROM HOME** : UES/66th LG 1 BDRM,Entire home/apt
731300,Private Room Williamsburg(Ariel) 4p,Private room
732624,1 Pvt. Room in Upper West Manhattan,Private room
732700,Centrally located and spacious apt.,ENTIRE HOME/APT
735677,CHIC Apt in TRENDY East Village,Entire home/apt
736187,Private Room in lovely Greenpoint,Private room
737075,"Bright Friendly Apt, East Village!",Private room
739815,Cozy Private Room in LIC,Private room
740823,Beautiful private Apt-15m Manhattan (3rd Room),private room
741154,Beautiful duplex loft with Skylight,ENTIRE HOME/APT
742026,NOLITA&SOHO BEST LOCATION&GREAT APT,Entire home/apt
742795,Spacious Heart of Ft. Greene Studio,Entire home/apt
744078,Tiffany Room in Duplex Home,PRIVATE ROOM
744220,Beautiful 1 bedroom in NOLITA (2 blocks from SOHO),Entire home/apt
745037,Luxury Locale Sunny 1BR Suite,Entire home/apt
746088,Little Italy gem Center of it all!,ENTIRE HOME/APT
746996,Park Slope-Private Room/Bath/Entry,private room
747029,Private rooms in heart of Chelsea,private room
747159,sunny private room in east village,Private room
747344,"Stunning views! 3 separate bedrooms, L train Loft",Entire home/apt
747538,"HUGE mid-century modern, sunny flat w/ amazing cat",Private room
747605,"East Village Studio, Great Location",Entire home/apt
749108,Cozy 4 BR Brooklyn townhouse in Clinton Hill,ENTIRE HOME/APT
749455,Lovely Loft space near Central Park & Times Square,Private room
752366,"Big, close to subway, 3 stops from the city",Entire home/apt
752616,Sunny 2BR Penthouse - HUGE Terrace,Entire home/apt
753399,SoHo Loft - The One,ENTIRE HOME/APT
753622,1 Private Bedroom / East Village,private room
753687,Mitchell Manor,Entire home/apt
753983,Super Cute Upper West Side Apt!!,Private room
753991,Elegant Stuyvesant Heights Retreat,Entire home/apt
755528,PRIVATE BATH/TONS OF SUNLIGHT/SAFE,Entire home/apt
757187,Brooklyn Charm in Clinton Hill,PRIVATE ROOM
758782,Perfect Midtown Apt E. 50th St,Entire home/apt
760303,UES Manhattan Quiet Nest 1 Bdrm,Entire home/apt
761606,"Great location, cozy and quiet.",entire home/apt
761835,Apto 2 bed $80 night per person,Private room
762015,"Private Oasis, en suite bathroom",private room
763527,Artist's Jungle Suite + Private Bathroom,Private room
763809,Mermaid Oasis in the Heart of Brooklyn,Private room
764753,Beautiful 3 bedroom apartment!!,Entire home/apt
765203,Art Lover's Abode Brooklyn,Shared room
765563,Big Comfy Beds & Breakfast on the Deck,entire home/apt
765569,"Brand New, Boutique Brooklyn Condo",Entire home/apt
767562,Beautiful communal house Bushwick,Private room
767967,Studio in Chelsea,entire home/apt
769448,"Bedford Loft, Williamsburg Prime",Entire home/apt
770893,1 Bdrm Apt-Luxury Bldg-Upper West,Entire home/apt
772362,TIMES SQ/THEATRE DIST STUDIO,Entire home/apt
772679,"Very large, clean 1 BR apartment",Entire home/apt
773041,Nice beautiful room In the Bronx,Private room
773993,Upper East Side Oasis!,PRIVATE ROOM
775238,Fantastic East Village Location!,private room
775280,New-York Family Friendly 2bdr/2bath,ENTIRE HOME/APT
775326,Cozy Room in Artistic Brownstone,Private room
776257,Large One Bedroom in heart of North Williamsburg,Entire home/apt
777297,XL 2 Bedroom LOFT in the Heart of Williamsburg,Entire home/apt
777327,Cozy Quiet Sunny 1br Ditmas Park Close to Train,ENTIRE HOME/APT
778381,Gorgeous Brooklyn Getaway,PRIVATE ROOM
779561,FULLY Furnished Studio ♥ Manhattan,Entire home/apt
779838,rent whole apt. classy 1-bedroom upper west side,Entire home/apt
782554,Great West Village 1 bdr apartment!,Entire home/apt
783202,"Charming Apt off Bleecker, First Fl",Entire home/apt
783341,Private Bedroom LOWER EAST SIDE,Private room
783964,GREAT ROOM Fast 2 TIMES SQ 9min NYC,Private room
784124,"New Flat, Great Light,  Unique Brooklyn Bungalow",Entire home/apt
784169,"Sunny, Gorgeous West Village Home",PRIVATE ROOM
785508,Experience New York - A Locals Way,PRIVATE ROOM
786053,"Sunny Rm #2, Air Conditioner, Park,Express Q train",PRIVATE ROOM
786685,Big Brnstn Grdn Apt 2 stops to Midtown,Entire home/apt
786843,PRIVATE ROOFTOP +BEST LOCATION+COZY,entire home/apt
786955,West Village - Gorgeous Studio Apt.,entire home/apt
788005,"Spacious 1 Bedroom Apt, Prospect Hts/Park Slope",Entire home/apt
790767,"East Village, Modern Apartment @ Astor Place",Entire home/apt
791452,Jazzy condo in Riverdale -fresh grown veggies,ENTIRE HOME/APT
792835,Spacious Lower East Side Studio,entire home/apt
794156,Lincoln Center  luxury condo,Entire home/apt
794567,Brooklyn Oasis - Master Bedroom.,private room
795198,"Big City of Dreams, East Village!",Private room
795680,Upper East side cozy 1 bdr apt,Entire home/apt
796523,Rustic Modern Duplex Brownstone,Entire home/apt
797972,Spacious 1 Bdrm in BEST location!!,Entire home/apt
798429,Modern 1-bedroom in Harlem Heights,Entire home/apt
799319,Peaceful Garden Sanctuary best part of Brooklyn!,Entire home/apt
799484,E'33-EMPIRE STATE -PERFECT SPAC,Entire home/apt
799945,"Very Small Room, Old Historic Brooklyn Townhouse",Private room
801281,Cozy Modern LES Apt-Prime Location,ENTIRE HOME/APT
801626,CBG HelpsHaiti #5 Suite,Private room
802498,Manhattan *SuperHost* Luxury Master Bedrm PRIVATE,Private room
803237,Duplex with two terraces and a view,ENTIRE HOME/APT
803778,Luxury Loft Noho New York City,entire home/apt
804246,"HUGE, PRIVATE, SUNLIT ROOM IN DOWNTOWN NYC LOFT!",private room
804815,Washington Heights homestay,private room
805028,"BOERUM HILL, Entire Home / Loft",Entire home/apt
805218,Private Room in Converted Loft,Private room
806038,Home Sweet Room-SAPPHIRE-Queens NYC,Private room
806040,Home Sweet Room-EMERALD-Queens NYC!,Private room
807535,Spacious Private Bedroom Brooklyn - Williamsburg,PRIVATE ROOM
808618,Spacious & Sunny in Scenic Kw Gdns,private room
808774,Chic 1 bd apt in Prime Williamsburg,entire home/apt
808851,Comfortable Room in UES - NYC,Private room
812467,"Vintage Chic Haven in Kensington, Brooklyn",Private room
812671,CSS (Central/Sunny/Spacious) 1 BR in Park Slope,entire home/apt
813225,"Quirky, Exposed-Brick Cozy Room Brooklyn Townhouse",Private room
813554,Historic Park Slope Gem - 1br,ENTIRE HOME/APT
813793,"Large, Private 2-BR Flat in the Lower East Side!",ENTIRE HOME/APT
814327,room in uper east side manhattan,Private room
814616,BIG STYLISH SUNNY EAST VILLAGE 1BR,Entire home/apt
814911,TASTEFUL DESIGN + SPACE FOREVER,PRIVATE ROOM
815465,Central Park North Guest House,Entire home/apt
816637,Big apartment with top view! 1 block from subway.,Entire home/apt
817113,large spaciousbrownstone house,Private room
818084,Gorgeous sunny prime SoHo 1BR Apt.,Entire home/apt
818325,Pied-à-Terre in Midtown Manhattan,entire home/apt
818337,Newly Reno Room with Private Bath^,private room
818481,MANHATTAN BEAUTIFUL PIANO ROOM,PRIVATE ROOM
818518,MANHATTAN BEAUTIFUL FIRESCAPE ROOM,Private room
819206,Cute shared studio apartment,SHARED ROOM
819228,MANHATTAN CONVENIENT 2 CLOSET ROOM,Private room
819419,"Entire Private, Spacious 1-BR in Ft. Greene",Entire home/apt
819893,MANHATTAN CONVENIENT NICE ROOM IN NYC,Private room
819956,"Home away from home,clean and cozy.",Private room
820710,1 large bedroom w/private bath,private room
820953,Entire Apt Yours! (5 Night Minimum),Entire home/apt
821135,Bright Loft One Stop from Soho,entire home/apt
822016,1BR w/private bath in modern Prospect Heights apt,Private room
823520,ON HIGHLINE! Private room & bath,Private room
823618,"Large,sunny private room in Harlem",Private room
823631,"Bright, cozy private room in Harlem",private room
823880,"Clean Private Bedroom on Lower East Side,Manhattan",Private room
825193,Park Slope Apartment,Entire home/apt
825486,1 BEDROOM APARTMENT IN UPPER EAST,ENTIRE HOME/APT
825545,Clean cozy room central historic gay best area,Private room
825550,Luxury 1BD in Historic Carrol Gardens Brownstone,ENTIRE HOME/APT
826388,"Spacious & Comfy, Top of Central Pk",Private room
826685,Dreamy Private Room in  Super Cool Bedstuy Apt.,Private room
826764,Spacious Sunny Union Sq Room,private room
827719,Experience Brooklyn like a True Brooklynite,Private room
828553,Location AND Space in the city!!,Entire home/apt
828685,Cute Room in Artist/Designers' Flat,Private room
828796,Large 2BR Apt in Brownstone,Entire home/apt
829935,Charming Backyard Apt in Townhouse,Entire home/apt
830949,DESIGNER LOFT W PRIVATE ROOFTOP & PANORAMIC VIEWS,PRIVATE ROOM
832772,NO PLACE LIKE YOUR NYC HOME! UPPER WEST SIDE 1BDRM,entire home/apt
833519,Large Bedroom for 2 brickwall,private room
834190,Manhattan Lux Loft.Like.Love.Lots.Look !,Private room
836578,Airy+Sunny 1bdrm- Steps to HighLine,entire home/apt
836720,Brand New Bay House,Entire home/apt
837503,❤️Feel@HOME Brooklyn Clinton Hill ❤️,Entire home/apt
838586,***HOT SPOT*** 2 blocks to L/G Trains *** Modern,ENTIRE HOME/APT
840731,Historic East Village Townhouse,Entire home/apt
840794,Big one bedroom located in Brooklyn,Entire home/apt
841292,BIG room in fun loft – heart of NYC,private room
841484,cozy charming apt - Lower East Side,ENTIRE HOME/APT
842167,1 BDR in Heart of Lower East side,ENTIRE HOME/APT
843003,Modern Two-Bedroom Balcony Apartment,Entire home/apt
843036,Beautiful apt uptown Manhattan,entire home/apt
843491,Clean 1 bedroom with private bath :),Private room
843524,A Little Palace in Brooklyn for Shoots and Events,entire home/apt
844319,"XL 90m2 2BR Victorian area,sleeps 7",ENTIRE HOME/APT
845417,LOVELY LOFT | 24H DOORMAN | PERFECT,Entire home/apt
845517,Queen-sized Room Avail in Huge 2 bdrm/2bth loft.,Private room
846190,Modern condo close to Prospect park,ENTIRE HOME/APT
846275,"BEST LOWER EAST SIDE APT, SLEEPS 4 COMFORTABLY.",entire home/apt
846470,"COZY SUNNY ROOM, BLOCK 4RM TRAIN :)",Private room
846854,Large Garden Duplex on Park block,entire home/apt
846871,"Cozy 1 BR near Central Park, AMNH, The MET & More",private room
848087,Great light-filled 1BR in Brooklyn,Entire home/apt
848220,LUXURY APT w PRIVATE GARDEN NYC UES,Entire home/apt
848718,Spacious & Comfy by Prospect Park,Private room
848722,Lovely BR In The ❤ Of Flushing! Free Metro Card,private room
849409,Spacious garden appartment brooklyn,Entire home/apt
849603,Spacious Crown Heights Apartment,Entire home/apt
850097,Beautiful 1BD in the West Village,ENTIRE HOME/APT
850148,1 ROOM IN AMAZING ARTIST NYC LOFT,Private room
850338,Authentic Luxury Designed Loft,entire home/apt
850517,3 Bedroom Duplex/ 2 Baths and 2 LR,entire home/apt
850712,Cute Studio Greenwich Village NYC,Entire home/apt
850943,ARTIST TRENDY NYC LOFT,ENTIRE HOME/APT
851784,Designer's spacious Manhattan apt.,Entire home/apt
852118,Spacious 3 Bedroom Prospect Brooklyn near subway,entire home/apt
852632,Gowanis Urban Oasis,Shared room
852949,INCREDIBLY LOCATED GREENWICH/WEST VILLAGE APT.!,Entire home/apt
854033,1 BR in large full floor apartment,Private room
854253,Great Lrg Apt next to Park/Subway,ENTIRE HOME/APT
854521,"Room, Central Location, Priv. Entry",Private room
855549,"Have the 1st floor of a two floor duplex,",PRIVATE ROOM
855919,Lovely Apt. in the heart of Harlem,ENTIRE HOME/APT
856440,YOUR OWN PLACE WITH VIEWS OF CENTRAL PARK,ENTIRE HOME/APT
857696,PRIVATE LARGE-MODERN-CLEAN master bedroom,Private room
858223,Entire flat west village,entire home/apt
858695,Very Large Private Room on quiet st,Private room
859596,Quiet room w/ 2 beds +light near subway+ museums,private room
860163,Manhattan Studio Apartment: 2 Adults $125,entire home/apt
860827,carriage house apartment,Entire home/apt
862890,Private bedroom w/ king size bed + pvt bathroom,Private room
864790,PEACEFUL SHARE BY CENTRAL PARK,Private room
864981,Cozy Room in Charming Brownstone,private room
865355,Spacious and Comfortable Room!,PRIVATE ROOM
866890,Budget/diamond in heart of Harlem,Private room
867721,Comfortable Modern Room in Bed-Stuy,Private room
867769,Full Bedroom in Bed-Stuy,Private room
873465,Cute & Comfortable One Bedroom,Entire home/apt
873701,"Chic, quiet 1BR with patio (steps from the subway)",ENTIRE HOME/APT
874683,Spacious Bushwick Duplex Apartment,Private room
874706,Fully Updated Modern 1 Bedroom Apartment,Entire home/apt
875111,1-bedroom apt in Clinton Hill,entire home/apt
875567,Cozy West Village Studio Apartment,entire home/apt
876355,Large 1BR Columbia University,Entire home/apt
876565,Spacious Comfy Bedroom in Bed-Stuy,private room
877135,Williamsburg 1br APT,Entire home/apt
880256,Beautiful Trendy 2br Harlem Apt.,ENTIRE HOME/APT
880424,★Beautiful Home Away From Home★,Private room
882209,Gorgeous Williamsburg Apartment,Private room
882559,Private bedroom&bathroom in the heart of Manhattan,Private room
883306,1  Bedroom in Clinton Hill Share,PRIVATE ROOM
883423,Clean and charming apartment  in Carroll Gardens,ENTIRE HOME/APT
883517,3 Bedroom Upper West Side Gem,entire home/apt
886808,"Free Metrocard*, Safe & Affordable",Private room
886833,"Private Suite, Free Metrocard*",Entire home/apt
887129,Comfortable and Large Duplex with Private Terrace,Entire home/apt
887292,2 Bedroom Bushwick Apartment,Entire home/apt
888583,Gorgeous Greenpoint Railroad,ENTIRE HOME/APT
888905,"Sunny bedroom, next to subway and Central Park",PRIVATE ROOM
890839,"Spacious, duplex townhouse w large garden oasis",ENTIRE HOME/APT
891117,Private Bedroom in Manhattan,private room
892704,Enjoy Brownstone Brooklyn!,Entire home/apt
893413,Architecturally Stunning Former Synagogue!,Entire home/apt
894015,Boldera: Your Home Away From Home,Entire home/apt
894063,"Penthouse patio,city view,BIG bed",private room
895386,NYC-THE BEST: Stay in Comfy Apt Manhattan-Harlem!,Entire home/apt
898669,Hip Modern West Village Apartment,Entire home/apt
898861,"Private One Bedroom Suite, 45 min from City",Entire home/apt
900383,Brooklyn-Bedstuy-Studio,shared room
903947,Beautiful Bedroom in Manhattan,PRIVATE ROOM
903972,Great Bedroom in Manhattan,Private room
905425,PAINTERS PARADISE / GREENPOINT,entire home/apt
905947,CHIC ROOM IN BROOKLYN BROWNSTONE,PRIVATE ROOM
906038,Central Pk West-Convenient 1 BR,Entire home/apt
906058,Columbia area room pvt bath & entry,private room
907966,1 rm @ 3BR artist loft williamsburg,Private room
911092,Avenue A Apartment,Entire home/apt
912376,Room in cool Bushwick loft!,PRIVATE ROOM
915020,Garden Apartment in Park Slope,Entire home/apt
917058,Charming Greenwich Village studio,Entire home/apt
918049,Union Sq European Serene apt,entire home/apt
918239,Cozy bedroom in Artist Loft,Private room
918426,IDEAL AREA!Reviews! LARGE btfl room,Private room
919491,Park Slope LARGEST (private) SHARE IN PARK SLOPE,Private room
919830,1br in a 2br apartment in Chelsea (23/7),private room
919978,2bdrm + Patio/BackYard/Time Square/1st Floor,Entire home/apt
921441,Artsy Bedroom/Office in WaHi,Private room
921585,Cosmopolitan Brownstone Sanctuary,Entire home/apt
921624,Rare Spacious Quiet Prime Williamsburg Duplex Loft,Entire home/apt
921862,Breathtaking view of New York city,Entire home/apt
923566,Sunlit Central Park Apartment,Entire home/apt
923979,"Private Studio Near JFK, LGA & Subway  Not A Bsmnt",Entire home/apt
924600,"Sunny, private room in Brooklyn!",Private room
924658,"Bright, airy room share in Brooklyn",Shared room
925240,Artist Loft - Union Square,ENTIRE HOME/APT
925730,Large studio all to yourself,Entire home/apt
927408,"Large Cozy Room #1, Landmark Home 1 block to PRATT",Private room
927987,Bright Doorman One Bedroom on Upper East Side,entire home/apt
929032,Dumbo | Spacious private room w/ private bathroom,Private room
931642,Murray Hill Garden Apt. MANHATTAN,Private room
933129,Fort Greene Jewel,ENTIRE HOME/APT
933861,Hell's Kitchen Hideaway - Private Entrance,Private room
936218,Clean-Furnished Room Near The Apollo (W 125th St.),Private room
937678,Bushwick Loft,Entire home/apt
938022,Private Bedroom in Williamsburg,Private room
939657,Behind the Red Door II,Entire home/apt
939724,Stylish Room-Artist/Designers' Flat,Private room
940115,Cozy Studio in the Heart of Crown Heights,Entire home/apt
940116,Bright Room in Historic Brownstone,Private room
941179,Clean & Cozy Brooklyn 1 BR Gem  - Great location!,ENTIRE HOME/APT
941642,HELL'S KITCHEN STUDIO for 2 or 3,Entire home/apt
944040,Entire 1.5 Br Apt- Crown Heights - Franklin Ave,Entire home/apt
944049,Beautiful 1BR in Prime West Village,ENTIRE HOME/APT
944755,STUDIO APT 1. IN PROSPECT LEFFERTS GARDENS,Entire home/apt
944840,Dumbo Loft With A Beautiful View,ENTIRE HOME/APT
945297,East Village Gay Friendly Dbl Room,private room
947810,Seeking Short Term Roommate on UES,PRIVATE ROOM
947963,Sunny WILLIAMSBURG Room near SUBWAY,Private room
949713,Luxury Duplex Loft w. Private Roof & Amazing Views,Entire home/apt
951365,Bushwick/Ridgewood aprtmt w parking,Entire home/apt
951944,Quiet Studio in Prime SoHo,Entire home/apt
953951,West Village Large 1BR,Entire home/apt
956412,Charming Bright 2BR apt- sleeps 6,entire home/apt
957002,Cozy PRIVATE Studio Apartment UWS and Jazz Tour.,Entire home/apt
957642,Large bedroom/Heart of Brooklyn,Private room
959478,"Chic, Cozy LES 1BR. Weekly clean included!",Entire home/apt
959871,Bask in the light! Studio bedroom in Williamsburg,PRIVATE ROOM
962045,"Private Room & Coffee, only 3 blocks to Train",Private room
964379,WATER VIEWS 3 BED HOME W/ PARKING,Entire home/apt
968848,"Cozy private room in 2 Bedroom, BK",private room
971158,Sunny room with private bathroom,private room
971247,Sunny Artist Live/Work Apartment,entire home/apt
973535,"Garden Apt, 5 mins from LaGuardia",entire home/apt
975229,Prime East Village location w/backyard garden!,entire home/apt
975250,Bushwick Duplex 2,Private room
975965,Great Room in Lively East Village,Private room
976242,Cozy East Village Haven,Entire home/apt
977870,Upper West Side Pied A Terre /NYC,entire home/apt
978062,West Village 1 BR Apartment,ENTIRE HOME/APT
978386,"A GEM Garden Apt on Broadway & 42ST QUEENS, NY",Entire home/apt
978615,NICE ROOM IN ASTORIA NEAR MANHATTAN,private room
980098,Quiet ST MARK'S PLACE ARTIST'S GEM,entire home/apt
983625,Great Studio in the heart of Harlem,Entire home/apt
986727,Manhattan's Best Deal!,entire home/apt
987329,ROOM NEAR TIMES SQUARE MANHATTAN,Private room
989976,Three Bedroom NY Private Apartment,Entire home/apt
990367,Colorful Manhattan - Harlem Apartment,Entire home/apt
992508,"Next to Subway, Private bedroom",private room
992598,"Village Life, 2-Bedroom, East Village",PRIVATE ROOM
993040,YOUR HARLEM HOME AWAY FROM HOME!!!,entire home/apt
993514,Luxury Furnished 1 BR UWS Apt w W/D & Deck,Entire home/apt
993575,1 BR Large Luxury Furnished Apartment UWS,Entire home/apt
995169,West Village Gem - Amazing Location,ENTIRE HOME/APT
995187,"BIG & SUNNY, 1 STOP FROM MANHATTAN",entire home/apt
997404,Charming Apt. In Brooklyn Townhouse,ENTIRE HOME/APT
998423,Great space minutes from Manhattan!,private room
998887,Sunny studio apt in heart of SoHo,Entire home/apt
999248,TriBeCa 2500 Sq Ft w/ Priv Elevator,entire home/apt
999984,Greenwich Village Townhouse Apt,Entire home/apt
1001147,Big Room with Bath in Bushwick!,Private room
1001447,Comfy twin bed/Cosy apartment/East Harlem / Subway,shared room
1002469,Comfortable Apt near Bloomingdales,Entire home/apt
1003754,Chic  Park Slope Pied-à-terre,Entire home/apt
1005416,South Harlem Gem! 113th St & 8th Ave,Shared room
1009883,"Modern, Carroll Garden Townhouse",entire home/apt
1010785,Astoria awesome balcony apartment PARKING AVAILABL,Entire home/apt
1011449,Spacious and EASY access to all!,ENTIRE HOME/APT
1016004,Clean and Cute Shared Room in Very Safe Area,Shared room
1018529,Large 2 BDRM @ McCarren Park!!,ENTIRE HOME/APT
1021491,Whole Apt: Artsy home by BK Museum,entire home/apt
1023181,"LOCATION/garden!(FEMALE only, next to girl's room)",Private room
1023529,Convenient and private,Private room
1025001,Private Entrance Charming Bedroom,private room
1025786,Fantastic 1br in Astoria/LIC,Private room
1027808,East Village Loft - 1300 sq/ft home - 2 Bedrooms!,entire home/apt
1028263,Spacious Room/Great Location,Private room
1029482,Private Room w TV in East Village,Private room
1029808,Spacious 1bd Near Trendy Neighborhoods And City,Entire home/apt
1030254,Large room in Beautiful communal house,Private room
1030392,"BIG, COMFY, 4BR DUPLEX, GARDEN APT, Williamsburg",Entire home/apt
1032611,"Private 1 bdrm Lefferts Gr, BK apt",ENTIRE HOME/APT
1034911,"Entire Spaceous, Sunny, Loft in Clinton Hill",Entire home/apt
1036498,☆☆New Discount☆☆ 10min to Manhattan,Private room
1036734,Apartment in the heart of Upper East Side,Entire home/apt
1039983,Tribeca Loft w/ Private Elevator,Entire home/apt
1040156,2 floor Luxury Loft in the best location!,Entire home/apt
1041996,Small room with private bath in New York,Private room
1042416,Sunny Brownstone  Attic,Entire home/apt
1042806,My Other Little Guestroom,private room
1044502,HELLO HARLEM,ENTIRE HOME/APT
1044731,Dear Potential Airbnb Guests.,PRIVATE ROOM
1045491,Prime Williamsburg. Brand new,Private room
1045897,"HISTORIC WILLIAMSBURG, BKLYN",ENTIRE HOME/APT
1046443,"Beautiful & spacious apartment in Astoria, Queens",PRIVATE ROOM
1048190,Huge Sunny Loft w Patio + Charm,ENTIRE HOME/APT
1051575,Quiet and Comfort Near Columbia University,PRIVATE ROOM
1054201,One Bedroom Townhouse Apartment,ENTIRE HOME/APT
1055029,Washington Heights/Inwood apartment,Private room
1056119,Cozy Private Space in Williamsburg Townhome,ENTIRE HOME/APT
1056185,Sunny+Cozy Double bedroom in BKLYN!,PRIVATE ROOM
1056256,Beautiful eco triplex w/green roof. Free yoga/spa.,Entire home/apt
1056445,Upscale Designer Studio-Heart of Manhattan,Entire home/apt
1056804,Spacious Modern & Comfy 2BR in BK Brownstone,Entire home/apt
1059891,"“L l,x w w.     XThank &mftkn.  .",PRIVATE ROOM
1060019,"Modern Duplex 1 bdrm , 1.5 Baths + terrace!",entire home/apt
1063020,Private Brownstone,Entire home/apt
1063554,bedroom in big sunny loft (& Roof!),Private room
1066769,"Clean Room, Central Location in Manhattan",Private room
1068505,Relaxing and Roomy in Crown Heights,Private room
1069266,Stay like a real New Yorker!,Entire home/apt
1070458,Room in a cozy loft,Private room
1072212,Relaxed in New York,Private room
1072481,Bedroom for two in Chelsea,PRIVATE ROOM
1073635,Cozy Carroll Gardens Brownstone Apt,Entire home/apt
1073780,Sunny Clinton Hill Apt w/Patio,entire home/apt
1073832,Designer Studio Apt in Red Hook,entire home/apt
1074155,"Big 1st Meal, Kind Host, Ace Space",Private room
1077176,Beautiful Gramercy duplex loft with terrace,Entire home/apt
1077179,Large luxury 1 bedroom loft in Gramercy,ENTIRE HOME/APT
1077375,Private RM 15min from the Manhattan,PRIVATE ROOM
1079675,"Clean, Complete and Cool",Entire home/apt
1080543,Sunny Sunset Park Artist Loft,Entire home/apt
1080766,Summer Special Price Times Square,Private room
1083888,"Verna's Brownstone  (no stove, no gatherings)",PRIVATE ROOM
1087215,Stunning Designer Loft in the heart of Chelsea,Entire home/apt
1089240,Great Apartment with luxurious bath in NYC/Chelsea,Private room
1089542,Private Cozy Bedroom in Brooklyn,PRIVATE ROOM
1089619,"Bright, Huge Room in 3 Bedroom Apt.",Private room
1091582,Two Comfy Rooms in Park Slope,PRIVATE ROOM
1091840,"Private bedroom in Manhattan, NYC",Private room
1092760,Private Entrance - Backyard Summer Dining - Enjoy,ENTIRE HOME/APT
1095106,Greenpoint - with your own space!,private room
1096511,Private Room in Large Apt w/ Gorgeous Park View,Private room
1098863,Great Bushwick Studio Apartment,Entire home/apt
1100421,"Cobble Hill, sunny large 1BR apt",Entire home/apt
1101035,Sunny 1 or 2 BR apt in Boerum Hill,entire home/apt
1101224,THE PUTNAM,Entire home/apt
1102858,Brownstone Flat on Tree-Lined Block,entire home/apt
1102942,"1BR, 1BTH Duplex W/ LRG OUTD SPACE",Entire home/apt
1102963,The Bushwick 3BR 2BA 20 mins to NYC,ENTIRE HOME/APT
1105845,Convenient Location! 1 BR on 1Floor,Entire home/apt
1106284,Modern Loft Space on Gramercy Park,Entire home/apt
1107092,Brand new 2BD Apt in Gramercy,Entire home/apt
1107976,Manhattan & Time Square in 30 minutes. Back room.,PRIVATE ROOM
1110195,Chic Brooklyn Apt.- Private Room,Private room
1110484,"Forget NYC, Stay in Williamsburg! Best 1 BR Apt",Entire home/apt
1112070,Private Room & Bath in Brooklyn!,private room
1112407,Harlem Short Term Stay,entire home/apt
1112484,Beautiful duplex on Bowery,private room
1114409,2BR spacious luminous brownstone,entire home/apt
1114493,Quiet room with desk in 2BR spacious brownstone,Private room
1114788,Astoria Heights Gorgeous Guest Bedroom,Private room
1117516,Beautiful new one bedroom apartment,Entire home/apt
1118031,Private room in Prime Soho/Nolita location,Private room
1121448,1 rm @ 3BR loft williamsburg room 2,Private room
1121497,Spacious E Williamsburg with Yard!!,Private room
1121502,ART HOUSE VAULT,Private room
1123737,"Leelas Bright, Cosy, and furnushed room.",private room
1124012,FOODIE HAVEN -ENJOY THE REAL NYC :),Private room
1124329,1 bedroom Apt 1 minute from the subway!,ENTIRE HOME/APT
1127140,Manhattan NYC - The Blue Room,Private room
1128681,Sunny Room in Lower East Side Apt!,Private room
1129483,Unique 1BR in energetic E. Village,Entire home/apt
1130138,West Harlem Clean Park 1 Bedroom,entire home/apt
1130680,It's all about Bushwick BROOKLYN,ENTIRE HOME/APT
1130855,Brooklyn: Close-In With Character,PRIVATE ROOM
1131422,ART HOUSE BIGGIE SMALL,Private room
1131804,Elegant 2BR in Manhattan 15 mins to Midtown,Entire home/apt
1133296,Entire home/apt in Chelsea New York,Entire home/apt
1134365,Private Garden Apt. with outdoor space in Red Hook,Entire home/apt
1137093,Triplex Penthouse in New York,Entire home/apt
1137587,Plum Guide Award-Winning Prospect Heights Oasis,ENTIRE HOME/APT
1139851,The Perfect Large Chelsea Studio,ENTIRE HOME/APT
1141120,Beautiful stylish one bedroom home with balcony.,ENTIRE HOME/APT
1142034,Large Flatiron 2 bedroom,Entire home/apt
1144861,Stylish Arty Brooklyn Appartment #4,ENTIRE HOME/APT
1145134,Lovely garden bedroom in Greenpoint,PRIVATE ROOM
1145337,Spacious Private Room -East Village,private room
1146534,furnished br in 2 br share in WV,Private room
1148144,Private Room (Long room) in Manhattan NYC,Private room
1148279,Family Owned & Operated Brownstone,Private room
1148978,1 BR 1/2 block to A/B/C/D trains,Private room
1150382,Fab 1 Bedroom Apartment!,Entire home/apt
1150398,Bright room in Brooklyn,Private room
1150594,HEART OF EAST VILLAGE! Quiet apt in middle of NYC!,Entire home/apt
1151209,Large Sunny 1BR - Entire 2nd Floor,Entire home/apt
1151343,Large  room in 2/1 on park w/2day discounts,Private room
1155475,"Big, glamorous, 4BR, 3-story house",Entire home/apt
1155885,Fresh and modern 1BR in Bed-Stuy,entire home/apt
1156440,Trendy East Village 1 Bedroom - NYC,Entire home/apt
1156499,MODERN/ SUBWAY/TERRACE/LOFT/ LARGE MASTER BEDROOM,Private room
1157522,North Williamsburg whole apt - Off the BEDFORD L,Entire home/apt
1164111,COMFORTABLE NYC RETREAT & Breakfast,Private room
1166616,Gorgeous Large Sunny Room - Upper Manhattan,PRIVATE ROOM
1167658,Cozy Greenpoint Accommodation,Private room
