listing_id,description,room_type
42580,Parlor Room In Victorian Townhouse,Private room
42729,House On Henry (2nd FLR Suite),ENTIRE HOME/APT
42882,New York room with a view,Private room
43957,Sunny cozy room in Brklyn townhouse,private room
44096,Room with a View,PRIVATE ROOM
44212,West Inn 2 - East Village,Private room
44221,Financial District Luxury Loft,Entire home/apt
44229,BROOKLYN VICTORIAN STYLE SUITE.....,Private room
44288,Your own Lovely West Village Studio,entire home/apt
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,Entire home/apt
45556,"Fort Greene, Brooklyn: Center Bedroom",Private room
45910,Beautiful Queens Brownstone! - 5BR,entire home/apt
45936,Couldn't Be Closer To Columbia Uni,Private room
45940,Bright Spacious Luxury Condo,Entire home/apt
46544,Park Slope haven 15 mins from Soho,Entire home/apt
46723,SAFE  AND BEAUTIFUL ACCOMODATION,PRIVATE ROOM
46911,Large Room in private Brownstone in Park Slope,Private room
47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",Private room
47926,LUX APT IN TIMES SQUARE NEW BUILDING,Entire home/apt
48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,Entire home/apt
50447,Lovely Apt & Garden;  Legal;  Best Area; Amenities,Entire home/apt
51485,Lower East Side $57~/night,Private room
51572,Prime Location in Manhattan,Private room
51850,( F) Excellent/Pvt Rm,Private room
53137,"Quiet, sunny Midtown Manhattan apt.",entire home/apt
53477,3 floors of luxury!,ENTIRE HOME/APT
54158,The Institute—Heart of Williamsburg,Entire home/apt
54508,Sml Rm in pr Brst  Park Sl great for Med/students,PRIVATE ROOM
54544,City Room - Private Penthouse Apt.,Entire home/apt
54626,Cozy bedroom by Yankee Stadium,Private room
54860,Great apartment with private bathroom and entrance,Private room
55467,Private Garden Apt • New Renovation,Entire home/apt
55498,Modern comfort in art infused landmark Brownstone,Private room
55737,Sleek & Comfortable Soho Apt,Entire home/apt
55959,Spacious Williamsburg Share w/ LOFT BED,Private room
56467,Cozy East Village Railroad 1 Bed!,Entire home/apt
56525,1 Bedroom Loft w/ Private Roof Deck,Entire home/apt
56859,City Room - Private & Comfy Bedroom,private room
57166,Elegant NYC Pad,Entire home/apt
57297,"Clean & bright 1BR in Cobble Hill, GREAT location!",Entire home/apt
57468,"Modern, Large East Village Loft",Entire home/apt
57618,"Great new apt, close to everything",Entire home/apt
57740,Quiet & Clean Retreat in the City,Entire home/apt
57754,Stylish Large Gramercy Loft!,ENTIRE HOME/APT
57874,The Brownstone-Luxury 1 Bd Apt/NYC,ENTIRE HOME/APT
58059,PRIVATE Room on Historic Sugar Hill,private room
58062,South Slope Green,Private room
58467,"17 Flr. Manhattan Views, Nr. Subway",Private room
59014,"Spacious 1BR, Adorable Clean Quiet",Entire home/apt
59642,Franklin St Flat in Trendy Greenpoint Brooklyn,Entire home/apt
59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",entire home/apt
60164,"Beautiful, elegant 3 bed SOHO loft",Entire home/apt
60457,Spacious Greenwich Village Apt,entire home/apt
60666,City Room - Private Luxury Suite,Private room
60680,The gem of the East Village,Entire home/apt
60948,ACCOMMODATIONS GALORE #2,Entire home/apt
61406,Great room in great location,private room
61492,Exclusive Room with Private Bath in  LES,Private room
61509,"Quiet, clean midtown apt w. elevato",Entire home/apt
62095,BK Sweet Suite w/Kitchen&FullBath,Entire home/apt
62427,Great East Village Apartment Rental,Entire home/apt
62430,BROWNSTONE SUNDRENCHED BEAUTY,entire home/apt
62452,A SpeciaL!! Private Room in NY,Private room
62461,B NYC Staten Alternative...,Private room
62787,C Private Room By The Ferry,private room
62891,Smallest House In The Village,Entire home/apt
62903,Beautiful modern studio apartment in heart of NYC,ENTIRE HOME/APT
62925,Beautiful Landmarked Duplex,Entire home/apt
63299,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,private room
63320,D Private Che@p Room 2 Explore NYC,Private room
63360,Safe cute near subway& Manhattan NY NY retro style,Entire home/apt
63546,Large and Cozy Private Bedroom,Private room
63610,DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,Entire home/apt
63657,"Private, Large & Sunny Top Floor Apt  w/W&D",entire home/apt
63693,Cottage in the Village,ENTIRE HOME/APT
64000,Williamsburg near soho. / loftbed,Private room
64107,BROOKLYN  STUDIO APARTMENT,Private room
64277,BEDROOM2 FOR RENT  10min from Manh,PRIVATE ROOM
64314,cozy bedroom in lovely garden apt,private room
64365,Crown Heights Garden Apt.,private room
64707,Amazing  Sunny & Breezy Home In the Heart of  NYC,Entire home/apt
64837,ENJOY Downtown NYC!!,private room
65019,Charming UWS Treehouse Apt,Entire home/apt
65268,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,Private room
65562,CHARMING EAST VILLAGE 2 (or 1) BR,Entire home/apt
65615,Farmhouse Apartment in Williamsburg,Entire home/apt
65660,Bright+Spacious Williamsburg Abode!,Entire home/apt
65813,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",PRIVATE ROOM
66008,CHARMING CARROLL GARDENS APT.,Entire home/apt
66026,Private Bedroom Brownstone Brooklyn,Private room
66251,East Village Loft with Piano & Patio,Entire home/apt
66275,Lower East Side Magic Room,Private room
66451,**Fantastic Williamsburg Apt**,entire home/apt
66718,West Harlem Home Base - Eco-Apt.,entire home/apt
66741,Charming Garden Apt in Park Slope,Entire home/apt
66974,"Lovely, Modern, Garden Apartment",Entire home/apt
67288,Central Park 1BR sunny condo,Entire home/apt
67299,Cozy Garden Apartment  in Williamsburg,Entire home/apt
67397,SoHa comfort-by NW Central Park!,Private room
68099,Cozy room in Upper West Side,Private room
68403,The Cozy Brownstone Inn (discount)!,entire home/apt
68735,Prewar Penthouse w Private Terrace,ENTIRE HOME/APT
68765,Designer 2.5 BR Loft in Carroll Gardens by Subway,Entire home/apt
68974,Unique spacious loft on the Bowery,ENTIRE HOME/APT
